*4u,kiss for you
lolcity,the whole city laughs out loud
lold,laughed out loud
lolees,laugh out loud
lolerz,laugh out loud
lolf,lots of love forever
lolin,laughing out loud
lolio,laugh out loud i own
lollam,laughing out loud like a maniac
lollercaust,an extreme event of hilarity
lollercoaster,laugh out loud  a lot 
lollerskates,laughing out loud
lolm,laugh out loud man
loln,laught out loud    not
lolngs,laghing out loud never gonna stop
lolocost,laugh out loud
lolol,saying  lol  out loud
lololz,laugh out loud
lolpimp,laughing out loud peeing in my pants
lolq,laugh out loud quietly
lolrof,laughing out loud while rolling on the floor 
lolrotf,laughing out loud rolling on the floor
lols,laugh out loud
lolvq,laugh out loud very quietly
lolwtime,laughing out loud with tears in my eyes
lolz,laugh out loud
lomg,like oh my god
loml,love of my life
lomy,love of my life
loomm,laughing out of my mind
lorl,laugh out real loud
lorrl,laugh out really really loud
lotf,laughing on the floor
loti,laughing on the inside
loto,laughing on the outside
lotr,lord of the rings
lov,love
lovu,love you
loxen,laughing out loud
loxxen,laughing out loud
lozer,loser
lpb,low ping b     d
lpiaw,large penis is always welcome
lpms,life pretty much sucks
lq,laughing quietly
lq2m,laughing quietly to myself
lqtm,laugh quietly to myself
lqtms,laughing quietly to myself
lqts,laughing quietly to self
lrfl,laughing really f  king loud
lrh,laughing really hard
lrqtms,laughing really quietly to myself
lrt,last retweet
lsfw,less safe for work
lshic,laughing so hard i m crying
lshid,laugh so hard i die
lshipmp,laughing so hard i piss my pants
lshismp,laughed so hard i s  t my pants
lshiwms,laughing so hard i wet myself
lshmson,laughing so hard milk shot out nose
lshrn,laughing so hard right now
lsmih,laughing so much it hurts
lsr,loser
lsudi,lets see you do it
lt,long time
ltb,looking to buy
lthtt,laughing too hard to type
ltip,laughting until i puke
ltm,listen to me
ltmq,laugh to myself quietly
ltms,laughing to my self
ltnc,long time no see
ltns,long time no see
ltnsoh,long time  no see or hear
ltnt,long time no talk
ltp,lay the pipe
ltr,later
lttpot,laughing to the point of tears
ltw,lead the way
ltywl,love the way you lie
lu2,love you too
lu2d,love you to death
lu4l,love you for life
lub,laugh under breath
luf,love
luff,love
lug,lesbian until graduation
luk,look
lukin,looking
lul,love you lots
lulab,love you like a brother
lulas,love you like a sister
lulz,laughing out loud 
lurker,one who reads but doesn t reply
lurve,love
luser,user who is a loser
lusm,love you so much
luv,love
luver,lover
luvuvm,love you very much
luvv,love
luzar,loser
lv,love
lve,love
lvl,level
lvn,loving
lvr,lover
lvya,love you
lwih,look what i have
lwn,last week s news
ly,love you
ly2,love you to
lya,love you always
lyaab,love you as a brother
lyaaf,love you as a friend
lyao,laugh your a   off
lybo,laugh your butt off
lyf,life
lyfao,laughing your f  king a   off
lyfe,life
lyk,like
lyk3,like
lyke,like
lyl,love you lots
lylab,love you like a brother
lylaba,love you like a brother always
lylad,love you like a dad
lylafklc,love you like a fat kid loves cake
lylam,love you like a mom
lylas,i love you like a sister
lylasa,love you like a sister always
lylno,love you like no other
lyls,love you lots
lymi,love you mean it
lysfm,love you so f  king much
lysm,love you so much
lyt,love you too
lyvm,love you very much
lzer,laser
lzr,loser
m,am
m$,microsoft
m$wxp,microsoft windows xp
m&d,mom and dad
m'kay,okay
m.i.a,missing in action
m.o,makeout
m/b,maybe
m/f,male or female
m2,me too
m3,me
m473s,friends
m473z,friends
m4f,male for female
m4m,male for male
m8,friend
m84l,mate for life
m8s,mates
m8t,mate
m8t's,friends
m9,mine
mabby,maybe
mabe,maybe
mah,my
mai,my
mao,my a   off
marvy,marvelous
masterb8,masterbate
mastrb8,masturbate 
mayb,maybe
mayte,mate
mb,my bad
mbf,my best friend
mbfal,my best friend and lover
mbhsm,my boobs hurt so much
mbl8r,maybe later
mcds,mcdonalds
mcs,my computer sucks
mcse,microsoft certified systems engineer
me2,me too
meatcurtain,woman s private parts
meatspace,the real world
meeh,me
mego,my eyes glaze over
meh,whatever
messg,message
mf,motherf  ker
mf2f4sx,meet face to face for sex
mfa,mother f  king a  h  e
mfah,motherf  king a  h  e
mfao,my f  king a   off
mfb,mother f  king b   h
mfg,merge from current
mfkr,motherf  ker
mflfs,married female looking for sex
mfr,motherf  ker
mfw,my face when
mgiwjsdchmw,my girlfriend is watching jeff so don t call her my wife
mhh,my head hurts
mhm,yes
mho,my humble opinion
mia,missing in action
mic,microphone
miid,my internet is down
milf,mom i d like to f  k
miltf,mom i d like to f  k
min,minute
mins,minutes
miq,make it quick
mir,mom in room
mirl,meet in real life
misc.,miscellaneous
miself,myself
mite,might
miw,mom is watching
miwnlf,mom i would not like to f  k 
mk,mmm    ok
mkay,ok
mlc,mid life crisis
mle,emily
mlia,my life is amazing
mlod,mega laugh out loud of doom
mlp,my little pony
mmamp,meet me at my place
mmas,meet me after school
mmatc,meet me around the corner
mmatp,meet me at the park
mmbocmb,message me back or comment me back
mmd,make my day
mmiw,my mom is watching
mmk,umm  ok
mml,making me laugh
mml8r,meet me later
mmlfs,married man looking for sex
mmmkay,okay
mmo,massive multiplayer online
mmorpg,massively multiplayer online role playing game
mmt,meet me there
mmtyh,my mom thinks you re hot
mmw,making me wet
mngmt,management
mngr,manager
mnm,eminem
mnt,more next time
mobo,motherboard
mof,matter of fact
mofo,mother f  ker
moh,medal of honor
mohaa,medal of honor allied assult
mol,more or less
mompl,moment please
moobs,man boobs
mor,more
morf,male or female
moro,tomorrow
mos,mom over shoulder
moss,member of same sex
motarded,more retarded
motd,message of the day
motos,member of the opposite sex
mpaw,my parents are watching
mpbis,most popular boy in school
mpd,multiple personality disorder
mpgis,most popular girl in school
mph,miles per hour
mpih,my penis is hard
mpty,more power to you
mrau,message received and understood
msf,male seeking female
msg,message
msgs,messages
msh,me so horny
msibo,my side is busting open
msie,microsoft s internet explorer
msm,main stream media
msmd     monkey see,monkey do
msngr,messenger
mssg,message
mstrb8r,masturbator
msv,microsoft vista
mtc,more to come
mtf,more to follow
mtfbwu,may the force be with you
mtfbwy,may the force be with you
mtg,meeting
mtherfker,mother f  ker
mthrfkr,mother f  ker
mtl,more than likely
mtr,matter
mtrfkr,motherf  ker
mty,empty
mu,miss you
mudda,mother
mul,miss you lots
musiq,music
musm,miss you so much
mutha,mother
muve     multi,user virtual environment
muvva,mother
muzik,music
mw2,modern warfare 2
mw3,modern warfare 3
mwah,kiss
mwf,married white female
mwsmirl,maybe we should meet in real life
myaly,miss you and love you
myfb,mind your f  king business
myke     man,dyke
myn,mine
myob,mind your own business
myodb,mind your own d  n business
myofb,mind your own f  king business
mypl,my young padawan learner
mysm,miss you so much
myspce,myspace
n,and
n e,any
n/a,not applicable
n/a/s/l,name  age  sex location
n/c,no comment
n/m,nevermind
n/n,nickname
n/o,no offense
n/t,no text
n00b,newbie
n00bs,newbies
n00dz,nudes
n00s,news
n1,nice one
n199312,african american
n1994,african american
n2,into
n2b,not too bad
n2bb,nice to be back
n2br,not to be rude
n2g,not too good
n2m,not too much
n2mh,not too much here
n2mhbu,not too much how about you 
n2mhjc,not too much here just chillin
n2mu,not too much  you 
n2n,need to know
n2p,need to pee
n64,nintendo 64
n8v,native
na,not applicable
na4w,not appropriate for work
naa,not at all
nade,grenade
nafc,not appropriate for children
nafkam,not away from keyboard any more
naft,not a f  king thing
nafta,north american free trade agreement
nah,no
namh,not at my house
nao,not as often
natch,naturally
natm,not at the minute
naw,no
nawidt,never again will i do that
nawt,not
naww,no
nayl,in a while
nb,not bad
"nb,p",nothing bad  parents
nba,national basketball association
nbd,no big deal
nbdy,nobody
nbf,never been f  ked
nc,not cool
ncaa,national collegiate athletic association
ncs,no crap sherlock
nd,and
ndit,no details in thread
ndn,indian
nds,nintendo ds
ne,any
ne1,anyone
neday,any day
nedn,any day now
nefing,anything
nei,not enough information
neida,any idea
nekkid,naked
nemore,anymore
nes,nintendo entertainment system
nethin,anything
nething,anything
neva,never
nevah,never
nevar,never
nevarz,never
nevm,never mind
nevr,never
newais,anyways
neway,anyway
neways,anyways
newayz,anyways
newb,someone who is new
newbie,new player
newez,anyways
nf,not funny
nfbsk,not for british school kids
nfc,no f  king clue
nfd,no f  king deal
nff,not f  king fair
nfi,no f  king idea
nfr,not for real
nfs,not for sale
nft,no further text
nfw,no f  king way
ng,nice game
ngaf,nobody gives a f  k
ngl,not gonna lie
nh,nice hand
nhatm,not here at the moment
ni,no idea
ni994,n   a
nib,new in box
nic,network interface card
nif,non internet friend
nifoc,naked in front of computer
nifok,naked in front of keyboard
nigysob,now i ve got you son of a b   h
nimby,not in my backyard
nin,no its not
nip,nothing in particular
nips,nipples
nite,night
nizzle,n    r
nj,nice job
njoy,enjoy
njp,nice job partner
nk,no kidding
nkt,never knew that
nld,nice lay down
nm,not much
nm u,not much  you
nmbr,number
nme,enemy
nmf,not my fault
nmfp,not my f  king problem
nmh,not much here
nmhau,nothing much how about you
nmhm,nothing much here  man
nmhu,nothing much here  you 
nmhwby,nothing much here what about you
nmjb,nothing much just bored
nmjc,not much  just chillin 
nmjch,nothing much just chilling
nmjcu,nothing much  just chilling  you 
nmjdhw,nothing much just doing homework
nmjfa,nothing much  just f  king around
nmnhnlm,no money  no honey  nobody loves me
nmp,not my problem
nmu,nothing much  you
nmw,no matter what
nmwh,no matter what happens
nn,good night
nn2r,no need to respond
nnaa,no not at all
nnfaa,no need for an apology
nnr,no not really
nntr,no need to reply
nntst,no need to say thanks
no pro,no problem
no1,no one
noaa,national oceanic and atmospheric administration
noc,naked on camera
noe,know
noes,no
nofi,no flame intended
nolm,no one loves me
nomw,not on my watch
noob,someone who is new
noobie,new person
nooblet,new player
noobz0r,newbie
noodz,nude pictures
nookie,sex
nop,normal operating procedure
norwich,knickers off ready when i come home
notin,nothing
noty,no thank you
noub,none of your business
nowai,no way
nowin,knowing
noyb,none of your business
noygdb,none of your god d  n business
np,no problem
np4np,naked pic for naked pic
npa,not paying attention
npc     non,playable character
npe,nope
npgf,no problem girl friend
nph,no problem here
npi,no pun intended
npnt,no picture  no talk
nps,no problems
nq,thank you
nr,no reserve
nr4u,not right for you
nrg,energy
nrn,no response necessary
ns,nice
nsa,no strings attached
nsas,no strings attached sex
nsfmf,not so fast my friend
nsfu,no sex for you
nsfw,not safe for work
nss,no s  t sherlock
nst,no school today
nstaafl,no such thing as a free lunch
nt,nice try
ntb,not to bad
ntbn     no text,back needed
nthg,nothing
nthin,nothing
nthn,nothing
ntigaf,not that i give a f  k
ntk,need to know
ntkb,need to know basis
ntm,not to much
ntmk,not to my knowledge
ntmu,nice to meet you
ntmy,nice to meet you
ntn,nothing
ntrly,not really
nts,note to self
ntstt,not safe to talk
ntt,need to talk
ntta,nothing to talk about
nttawwt,not that there is anything wrong with that
nttiawwt,not that there is anything wrong with that 
ntty,nice talking to you
ntw,not to worry
ntxt,no text
nty,no thank you
nu,new
nub,inexperienced person
nuff,enough
nuffin,nothing
nufin,nothing
nutin,nothing
nuttin,nothing
nv,envy
nvm,never mind
nvmd,nevermind
nvmdt,never mind then
nvmt,nevermind that
nvr,never
nvrm,nevermind
nvrmnd,never mind
nw,no way
nwb,a new person
nwih,no way in hell
nwj,no way jose
nwrus,no way are your serious
nws,not work safe
nwtf,now what the f  k
nwy,no way
nxt,next
ny1,anyone
nyc,new york city
nyf,not your fault
nyp,not your problem
nywy,anyway
o,oh
o rly,oh really
o&o,over and out
o.p.,original poster
o/y,oh yeah
oaoa,over and over again
oar,on a roll
oaw,on a website
obgjfioyo,old but good job finding it on your own
obj,object
obl,osama bin laden
obo,or best offer
obtw,oh  by the way
obv,obviously
obvi,obviously
occ,occupation
ocd,obsessive compulsive disorder
ocgg,oh crap  gotta go
od,over dose
oday,software illegally obtained before it was released
odg,oh dear god
odtaa,one d  n thing after another
oe,or else
oed,oxford english dictionary
of10,often
ofc,of course
ofcol,oh for crying out loud
ofn,old f  king news
oftc,out for the count
oftn,often
oftpc,off topic
ofwg,old fat white guys
og,original gangster
ogw,oh guess what
oh noes,oh s  t 
oh noez,oh no 
ohic,oh i see
ohn,oh hell no
ohnoez,oh no
ohy,oh hell yeah
oibmpc,oops i broke my computer
oic,oh  i see
oicic,oh i see i see
oicu,oh  i see you 
oicwydt,oh  i see what you did there
oidia,oops i did it again
oink,oh i never knew
oiyd,only in your dreams
oj,orange juice
ojsu,oh  just shut up 
ok,okay
oll,online love
olpc,one laptop per child
omdg,oh my dear god
omdz,oh my days
omfd,oh my f  king days
omfg,oh my f  king god
omfgn,oh my f  king god noob
omfgsh,oh my f  king gosh
omfj,oh my f  king jesus
omfl,oh my f  king internet connection is slow
omfsm,oh my flying spaghetti monster
omfwtg,oh my f  k what the god 
omg,oh my god
omg's,oh my god s
omgd,oh my gosh dude
omgf,oh my god   f  k 
omgg,oh my gosh girl
omgicfbi,oh my god i can t f  king believe it
omgih,oh my god in heaven
omgihv2p,oh my god i have to pee
omginbd,oh my god  it s no big deal
omgn,oh my goodness
omgny,oh my god no way
omgosh,oh my gosh
omgroflmao,oh my god roll on the floor laughing my a   off
omgsh,oh my gosh
omgty,oh my god thank you
omgukk,oh my god you killed kenny
omgwtf,on my god  what the f  k
omgwtfbbq,oh my god  what the f  k
omgwtfhax,oh my god what the f  k  hacks 
omgwtfit,oh my god  what the f  k is that
omgwtfnipples,on my god  what the f  k
omgyg2bk,oh my god you got to be kidding
omgykkyb,oh my god you killed kenny you b     ds
omgz,oh my god
omgzors,oh my god
omhg,oh my hell god
omj,oh my jesus
ommfg,oh my mother f  king god
omt,one more time
omw,on my way
omwh,on my way home
omwts,on my way to school
omy,oh my 
onoez,oh no
onoz,oh no
onud,oh no you didn t
onyd,oh no you didn t
oob,out of buisness
oobl,out of breath laughing
ooc,out of character
oohm,out of his her mind
oom,out of mana
oomf,one of my followers
oomm,out of my mind
ooo,out of the office
ootb,out of the blue
ootd,outfit of the day
oow,on our way
ooym,out of your mind
op,operator
orgy,orgasm
orlsx,oral sex
orly,oh really 
orpg,online role playing game
os,operating system
osbutctt,only sad b     ds use this crappy text talk
osd,on screen display
osifgt,oh s  t i forgot
oslt,or something like that
osy,oh screw you
ot,off topic
otc,off the chain
otfcu,on the floor cracking up
otfl,on the floor laughing
otflmao,on the floor laughing my a   off
otflmfao,on the floor laughing my f  king a   off
otflol,on the floor laughing out loud
otfp,on the f  king phone
otft,over the f  king top
oti,on the internet
otl,out to lunch
otoh,on the other hand
otp,on the phone
ots,over the shoulder
ott,over the top
otw,on the way
outa,out of
ova,over
oways,oh wow are you serious
owned,made to look bad
ownt,made to look bad
ownz,owns
ownzer,one who makes others look bad
ownzorz,owned 
owt,out
oww,oops  wrong window
oyfe,open your f  king eyes
oyid,oh yes i did
oyo,on your own
oyr,oh yeah right
p.o.b.,parent over back
p.o.s,parent over shoulder
p.o.s.,parent over shoulder
p/oed,pissed off
p/w,password
p00p,poop
p0wn,make to look bad
p2p,peer to peer
p33n,penis
p3n0r,penis
p3n15,penis
p3n1s,penis
p4p,pic for pic
p911,parent emergency  parent near 
p@w,parents are watching
p^s,parent over shoulder
pach,parents are coming home
pachs,parents are coming home soon
pae,pimpin aint easy
pag,parents are gone
pah,parents at home
parnts,parents
pas,parent at side
pasii,put a sock in it
patd,panic at the disco
paw,parents are watching
pb,peanut butter
pb&j,peanut butter and jelly
pbb,parent behind back
pbcakb,problem between chair and keyboard
pbj,peanut butter and jelly
pbjt,peanut butter jelly time
pbkc,problem between keyboard   chair
pbly,probably
pbm,parent behind me
pbp,please be patient
pcbd,page cannot be displayed
pce,peace
pcent,percent
pcm,please call me
pco,please come over
pcrs,parents can read slang
pda,public display of affection
pdg,pretty d  n good
pdq,pretty d  n quick
peanus,penis
pearoast,repost
pebcak,problem exists between chair and keyboard
pebkac,problem exists between keyboard and chair
pebmac,problem exist between monitor and chair
peep dis,check out what i m telling you
peeps,people
pen0r,penis
pen15,penis
penor,penis
peoples,people
perv,pervert
pewp,poop
pex,please explain 
pezzas,parents
pf,profile
pfa,please find attached
pfm,please forgive me
pfo,please f  k off
pfos,parental figure over sholder
pfy,pimply faced youth
pg,page
ph#,phone number
ph33r,fear
ph34r,fear
phag,f  
phail,fail
phat,pretty hot and tasty
phayl,fail
phear,fear
phlr,peace hugs love respect
phm,please help me
phq,f  k you
phreak,freak
phreaker,phone hacker
phuck,f  k
phucker,f  ker
phuk,f  k
phun,fun
phux,f  k
phuxor,f  k
piab,panties in a bunch
pic,picture
piccies,pictures
pics,pictures
pihb,pee in his her butt
piihb,put it in her butt
piitb,put it in the butt
pima,pain in my a  
pimfa,pain in my f  king a  
pimha,pain in my hairy a  
pimpl,pissing in my pants laughing
pino,filipino
pir,parents in room
pirlos,parent in room looking over shoulder
pita,pain in the a  
pitfa,pain in the f  king a  
pitr,parent in the room
pitrtul,parents in the room text you later
piw,parent is watching
pix,pictures
pk,player kill
pkemon,pokemon
pker,player killer
pking,player killing
pl,parent looking
pl0x,please
pl8,plate
plac,parent looking at computer
plams,parents looking at my screen
plars,party like a rock star
platcs,parent looking at the computer screen
ple's,please
pleaz,please
pleez,please
pleeze,please
pleze,please
pliz,please
plma,please leave me alone
plmk,please let me know
plocks,please
plom,parents looking over me
plomb,parents looking over my back
ploms,parent looking over my shoulder
plos,parents looking over shoulder
plox,please
ploxxorz,please
pls,please
plse,please
plx,please thanks
plywm,play with me
plz,please
plzkthx,please  ok  thank you
plzthx,please  thanks
pmfji,pardon me for jumping in
pmfsl,piss my f  king self laughing
pmg,oh my god
pmita,pound me in the a  
pmitap,pound me in the a   prison
pml,pissing myself laughing
pmo,pissing me off
pmp,pissing my pants
pmpl,piss my pants laughing
pmsfl,pissed myself f  king laughing
pmsl,piss my self laughing
pnbf,potential new boy friend
pnhlgd,parents not home  let s get dirty
pnis,penis
pns,penis
pnus,penis
po,piss off
po po,police
po'd,pissed off
pob,parent over back
poc,piece of crap
poed,pissed off
poets,piss off early  tomorrow s saturday
poi,point of interest
poidnh,pics or it did not happen
pol,parent over looking
poms,parent over my shoulder
poo,poop
poontang,female genitalia
pooter,computer
popo,police
poq,piss off quick
pos,parent over shoulder
poscs,parents over sholder change subject
posmbri,parent over shoulder might be reading it
potc,pirates of the caribbean
pots,plain old telephone service
pov,point of view
pow,prisoner of war
pp,pee pee
ppl,people
ppls,people
pplz,people
ppor,post proof or recant
ppppppp,prior proper planning prevents piss poor performance
pr0,professional
pr0n,porn
pr0nz,porn
prblm,problem
prd,period
preggers,pregnant
prego,pregnant
prfct,perfect
prn,porn
prncpl,principal
prncss,princess
prnoscrn,porn on screen
pro,professional
prob,problem
probly,probably
probz,probably
prod,product
prolly,probably
prollz,probably
promos,promotions
pron,porn
proxie,proxy
prp,please reply
prsn,person
prty,party
prv,private
prvrt,pervert
prw,parents are watching
ps1,play station 1
ps2,play station 2
ps3,play station 3
psa,public service announcement
psbms,parent standing by my side
psn,playstation netwok
psos,parent standing over sholder
psp,playstation portable
pssy,p   y
pst,please send tell
pt33n,preteen
ptbb,pa   the barf bag
ptfo,passed the f  k out
pthc,preteen hardcore
ptl,praise the lord
pto,personal time off
ptw,play to win
puhleaze,please
purty,pretty
puter,computer
pvp,player versus player
pvt,pervert
pw,parent watching
pwb,p   y whipped b   h
pwcb,parents watching close by
pwd,password
pwn,made to look bad
pwn3d,owned
pwn3r,owner
pwnage,ownage
pwnd,owned
pwned,made to look bad
pwner,owner
pwnt,owned
pwnz,owns
pwnzor,owner
pwob,parent watching over back
pwoms,parent watching over my shoulder
pwor,power
pwos,parent was over sholder
pww,parents were watching
pxr,punk rocker
pydim,put your d  k in me
pyfco,put your freaking clothes on
pyt,pretty young thing
pz,peace
pzled,puzzled
q2c,quick to c  
q33r,queer
q4u,question for you
qed,i ve made my point
qfe,quoted for emphasis
qfmft,quoted for motherf  king truth
qft,quoted for truth
qft&gj,quoted for truth and great justice
ql,cool
qltm,quietly laughing to myself
qna,question and answer
qool,cool
qoolz,cool
qotd,quote of the day
qotsa,queens of the stone age
qoty,quote of the year
qpr,quite pathetic really
qpwd,quit posting while drunk
qq,crying eyes
qt,cutie
qt3.14,cutie pie
qte,cutie
qtpi,cutie pie
r,are
r tard,retard
r.i.p.,rest in peace
r0x0rz,rocks
r2f,ready to f  k
r8,rate
r8p,rape
r8pist,rapist
r8t,rate
ra2,red alert 2  game 
ra3,red alert 3  game 
raoflmao,rolling around on floor laughing my a   off
rawk,rock
rawks,rocks
rawr,roar
rb@u,right back at you
rbau,right back at you
rbay,right back at you
rbm,right behind me
rbtl,read between the lines
rbty,right back to you
rcks,rocks
rcsa,right click save as
rcvd,received
rdy,ready
re,reply
re/rehi,hello again
reefer,marijuana
refl,rolling on the floor laughing
rehi,hello again
rele,really
rents,parents
rentz,parents
rep,to represent
reppin,representing
retrotextual,one who is using out of date words and abbreviations while texting 
rff,really f  king funny
rflmao,rolling on the floor laughing my a   off
rfn,right f  king now
rgr,roger
rhcp,red hot chilli peppers
rhgir,really hot guy in room
rhs,right hand side
ricl,rolling in chair laughing
rifk,rolling on the floor laughing
rihad,rot in hell and die
rino,republican in name only
rite,right
ritjive,non virgin
rjct,reject
rl,real life
rlbf,real life boy friend
rlf,real life friend
rlg,really loud giggle
rlgf,real life girl friend
rlly,really
rln,real life name
rly,really
rlz,rules
rlze,realize
rm,room
rme,rolling my eyes
rmr,remember
rmso,rock my socks off
rn,right now
rnt,aren t
ro,rock out
rockr,rocker
rodger,affirmative
rofalol,roll on the floor and laugh out loud
rofc,rolling on floor crying
roffle,rolling on the floor laughing
roffle out loud,rolling on the floor laughing out loud
rofflecake,rolling on the floor laughing
rofflecopters,rolling on the floor with laughter
roffleol,rolling on the floor laughing out loud
roffles,rolling on floor laughing
rofflmfao,rolling on the floor laughing my f  king a  
rofl,rolling on the floor laughing
rofl&pmp,rolling on floor laughing and peeing my pants
roflao,rolling on the floor laughing my a   off
roflastc,rolling on floor laughing and scaring the cat
roflcopter,rolling on the floor laughing
roflcopters,rolling on the floor laughing  very funny 
roflkmd,rolling on the floor laughing kicking my dog
rofllh,rolling on the floor laughing like hell
roflmao,rolling on the floor laughing my a   off
roflmaoapimp,rolling on the floor laughing my a   off and peeing in my pants
roflmaool,rolling on the floor laughing my a   off out loud
roflmaopmp,rolling on the floor  laughing my a   off  pissing my pants
roflmaouts,rolling on floor laughing my f  king a   off unable to speak
roflmaowpimp,rolling on floor laughing my a   off while peeing in my pants
roflmbfao,rolling on floor laughing my big fat a   off
roflmbo,rolling on floor laughing my butt off
roflmfao,rolling on the floor laughing my f  king a   off
roflmfaopimp,rolling on the floor laughing my f  king a   off pissing in my pants
roflmfaopmp,rolling on flor laughing my f  king a   of peeing my pants
roflmgao,rolling on the floor laughing my gay a   off
roflmgdao,rolling on the floor laughing my god d  n a   off
roflmgdmfao,roling on floor laughing my god d  n mother f  king a   off
roflmgo,rolling on floor laughing my guts out
roflmho,rolling on the floor laughing my head off
roflmiaha,rolling on the floor laughing myself into a heart attack
roflmmfao,rolling on the floor laughing my mother f  king a   off
roflol,rolling on floor laughing out loud
roflolbag,rolling on the floor laughing out loud busting a gut
roflpimp,rolling on the floor laughing pissing in my pants
roflpmp,rolling on the floor laughing peeing my pants
roflwtime,rolling on the floor laughing with tears in my eyes
rofpml,rolling on the floor pissing myself laughing
rofwl,rolling on the floor while laughing
roger,affirmative
rogl,rolling on ground laughing
roglmfao,rolling on ground laughing my f  king a   off
roi,return on investment
roids,steroids
roj,affirmative
rol,rolling over laugihng
rolmao,rolling over laughing my a   off
rolmfao,rolling over laughing my f  king a   off
rombl,rolled off my bed laughing
rong,wrong
roofles,rolling on the floor laughing
ror,raughing out roud
rotf,rolling on the floor
rotfalol,roll on the floor and laugh out loud
rotffl,roll on the f  king floor laughing
rotfflmao,rolling on the f  king floor laughing my a   off
rotfflmfao,rolling on the f  king floor laughing my f  king a   off
rotfl,rolling on the floor laughing
rotflaviab,rolling on the floor laughing and vomiting in a bucket
rotflmao,rolling on the floor laughing my a   off
rotflmaofaktd,rolling on the floor laughing my a   off farted and killed the dog
rotflmaool,rolling on the floor laughing my a   off out loud
rotflmaostc,rolling on the floor laughing my a   off scaring the cat
rotflmbo,rolling on the floor laughing my butt off
rotflmfao,rolling on the floor laughing my f  king a   off
rotflmfaopimp,rolling on the floor laughing my f  king a   off peeing in my pants
rotflmfaopmp,rolling on the floor laughing my a   off pissin my pants
rotflmfho,rolling on the floor laughing my f  king head off
rotflmho,rolling on the floor laughing my head off
rotflmmfao,rolling on the floor laughing my mother f  king a   off
rotflol,rolling on the floor laughing out loud
rotfpm,rolling on the floor pissing myself
rotfwlmao,rolling on the floor while laughing my a   off
rotg,rolling on the ground
rotgl,roll on the ground laughing
rotglmao,rolling on the ground laughing my a   off
rotw,rest of the world
rowyco,rock out with your c  k out
rox,rocks
roxor,rock
roxorz,rocks
roxxor,rock
rp,roleplay
rpg,role playing game
rpita,royal pain in the a  
rplbk,reply back
rpo,royally pissed off
rq,real quick
rr,rest room
rrb,restroom break
rsn,real soon now
rsp,respawn
rspct,respect
rsps,runescape private server
rta,read the article
rtard,retard
rtbq,read the blinking question
rtf,return the favor
rtfa,read the f  king article
rtffp,read the f  king front page
rtfm,read the f  king manual
rtfmfm,read the f  king manual f  king moron
rtfmm,read the f  king manual moron
rtfms,read the f  king manual stupid
rtfp,read the f  king post
rtfq,read the f  king question
rtfs,read the f  king summary
rtfu,ready the f  k up
rtg,ready to go
rtl,report the loss
rtm,read the manual
rtr,read the rules
rtry,retry
rts     real,time strategy
ru,are you
ru18,are you 18
rua,are you alone
ruabog,are you a boy or girl
ruagoab,are you a girl or a boy
rubz2nt,are you busy tonight
rufkm,are you f  king kidding me
rugay,are you gay
rugta,are you going to answer
ruh,are you horny
ruk,are you ok 
rukm,are you kidding me
rumf,are you male or female
ruok,are you ok 
rur,are you ready
rut,are you there
ruwm,are you watching me
rwb,rich white b   h
ryt,right
ryte,right
s'ok,it s okay
s'pose,suppose
s'up,what is up
s.i.n.g.l.e,stay intoxicated nightly  get laid everyday 
s.i.t.,stay in touch
s.o.a.b.,son of a b   h
s.o.b.,son of a b   h
s.w.a.k.,sealed with a kiss
s/b,should be
s2a,sent to all
s2bu,sucks to be you
s2r,send to receive
s2u,same to you
s2us,speak to you soon
s3x,sex 
s4se,sight for sore eyes
s8ter,skater
sab,slap a b   h
sagn,spelling and grammar nazi
sah,sexy as hell
sahm,stay at home mom
sase,self addressed stamped envelope
sbc,sorry bout caps
sbcg4ap,strongbads cool game for attractive people
sbd,silent but deadly
sblai,stop babbaling like an idiot
sbrd,so bored
sbs,such bull s  t
sbt,sorry bout that
scnr,sorry  i couldn t resist
scool,school
scrilla,money
scrt,secret
scurred,scared
sd,suck d  k
sdf^,shut da f  k up
sdk,software development kit
sdlc,software development life cycle
sec,second
secks,sex
secksea,sexy
secksy,sexy
sed,said
see through your eyes,stye
seg,s  t eatin grin
seks,sex
sellin,selling
seo,search engine optimization
serp,search engine results page
sexc,sexy
sexe,sexy
sexi,sexy
sexii,sexy
sexilicious,very sexy
sexx0rz,sex
sez,says
sfam,sister from another mother
sfe,safe
sfh,so f  king hot
sfipmp,so funny i peed my pants
sfm,so f  king much
sfr,so f  king random
sfs,so f  king stupid
sfsg,so far so good
sfu,shut the f  k up
sfw,safe for work
sfwuz,safe for work until zoomed
sfy,speak for yourself
sg,so good
sgb,straight gay bisexual
sgbadq,search google before asking dumb questions
sgi,still got it
sgtm,slightly gigling to myself
sh,s  t happens
shag,f  k
shawty,girl
shd,should
shexi,sexy
shexy,sexy
shiat,s  t
shiet,s  t
shite,s  t
shiz,s  t
shizit,s  t
shiznat,s  t
shiznit,s  t
shizz,s  t
shizzle,s  t
shld,should
shmexy,sexy
shmily,see how much i love you
sho,sure
sho'nuff,sure enough
showin,showing
shrn,so hot right now
sht,s  t
shtf,s  t hits the fan
shud,should
shuddup,shut up
shup,shut up
shure,sure
shut^,shut up
shwr,shower
